ICB_CODE,Rate
E54000008,602
E54000010,601
E54000011,536
E54000013,598
E54000015,503
E54000018,557
E54000019,528
E54000022,592
E54000023,615
E54000024,562
E54000025,568
E54000026,600
E54000027,441
E54000028,388
E54000029,434
E54000030,400
E54000031,433
E54000032,536
E54000034,517
E54000036,414
E54000037,515
E54000038,532
E54000039,486
E54000040,463
E54000041,554
E54000042,500
E54000043,524
E54000044,496
E54000048,597
E54000050,622
E54000051,546
E54000054,582
E54000055,503
E54000056,564
E54000057,592
E54000058,501
E54000059,549
E54000060,514
E54000061,582
E54000062,567
E54000063,502
E54000064,514
