date,geography,geography_code,metric,stratum,metric_value,theme,sub_theme,topic,geography_type,metric_group,sex,age,year,month,epiweek,in_reporting_delay_period
2021-11-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,7.58,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,11,44,FALSE
2021-12-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,8.22,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2021,12,48,FALSE
2022-01-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,15.19,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,1,1,FALSE
2022-02-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,18.07,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,2,5,FALSE
2022-03-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,19.75,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,3,9,FALSE
2022-04-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,16.09,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,4,13,FALSE
2022-05-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,15.69,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,5,18,FALSE
2022-06-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,12.87,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,6,22,FALSE
2022-07-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,14.13,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,7,26,FALSE
2022-08-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,12.36,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,8,31,FALSE
2022-09-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,13.54,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,9,35,FALSE
2022-10-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,12.63,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,10,40,FALSE
2022-11-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,13.59,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,11,44,FALSE
2022-12-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,11,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2022,12,48,FALSE
2023-01-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,8.85,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,1,1,FALSE
2023-02-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,5.15,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,2,5,FALSE
2023-03-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,6.38,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,3,9,FALSE
2023-04-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,10.98,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,4,13,FALSE
2023-05-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,13.1,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,5,18,FALSE
2023-06-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,18.42,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,6,22,FALSE
2023-07-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,18.09,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,7,26,FALSE
2023-08-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,16.51,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,8,31,FALSE
2023-09-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,15.52,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,9,35,FALSE
2023-10-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,14.42,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,10,40,FALSE
2023-11-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,17.71,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,11,44,FALSE
2023-12-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,20.22,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2023,12,48,FALSE
2024-01-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,19.51,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,1,1,FALSE
2024-02-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,17.28,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,2,5,FALSE
