YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201504,Q44,0501011P0,Female,0-1,*,*
201504,Q44,0501011P0,Female,2-5,*,*
201504,Q44,0501011P0,Female,6-10,5,5
201504,Q44,0501011P0,Female,11-15,*,*
201504,Q44,0501011P0,Female,16-20,5,5
201504,Q44,0501011P0,Female,21-25,*,*
201504,Q44,0501011P0,Female,26-30,*,*
201504,Q44,0501011P0,Female,31-35,*,*
201504,Q44,0501011P0,Female,36-40,*,*
201504,Q44,0501011P0,Female,51-55,*,*
201504,Q44,0501011P0,Female,56-60,*,*
201504,Q44,0501011P0,Female,66-70,*,*
201504,Q44,0501011P0,Female,71-75,*,*
201504,Q44,0501011P0,Female,81-85,*,*
201504,Q44,0501011P0,Male,Unknown,*,*
201504,Q44,0501011P0,Male,6-10,*,*
201504,Q44,0501011P0,Male,11-15,*,*
201504,Q44,0501011P0,Male,16-20,*,5
201504,Q44,0501011P0,Male,21-25,*,*
201504,Q44,0501011P0,Male,31-35,*,*
201504,Q44,0501011P0,Male,56-60,*,*
201504,Q44,0501011P0,Male,66-70,*,*
201504,Q44,0501011P0,Male,86-90,*,*
201504,Q44,0501011P0,Unknown,Unknown,0,*
201504,Q44,0501011P0,Unknown,0-1,0,*
201504,Q44,0501011P0,Unknown,16-20,0,*
201504,Q44,0501011P0,Unknown,51-55,*,*
201504,Q44,0501012G0,Female,Unknown,*,*
201504,Q44,0501012G0,Female,0-1,*,*
201504,Q44,0501012G0,Female,2-5,*,*
201504,Q44,0501012G0,Female,6-10,*,*
201504,Q44,0501012G0,Female,11-15,*,*
201504,Q44,0501012G0,Female,16-20,*,*
201504,Q44,0501012G0,Female,21-25,*,*
201504,Q44,0501012G0,Female,26-30,*,*
201504,Q44,0501012G0,Female,31-35,*,*
201504,Q44,0501012G0,Female,36-40,*,*
201504,Q44,0501012G0,Female,41-45,*,*
201504,Q44,0501012G0,Female,46-50,*,*
201504,Q44,0501012G0,Female,51-55,*,*
201504,Q44,0501012G0,Female,61-65,*,*
201504,Q44,0501012G0,Female,66-70,6,6
201504,Q44,0501012G0,Female,71-75,*,*
201504,Q44,0501012G0,Female,76-80,*,*
201504,Q44,0501012G0,Female,81-85,*,*
201504,Q44,0501012G0,Female,86-90,*,*
201504,Q44,0501012G0,Female,91-95,*,*
201504,Q44,0501012G0,Male,Unknown,*,*
201504,Q44,0501012G0,Male,0-1,*,*
201504,Q44,0501012G0,Male,2-5,*,*
201504,Q44,0501012G0,Male,6-10,*,*
201504,Q44,0501012G0,Male,11-15,*,*
201504,Q44,0501012G0,Male,16-20,5,5
201504,Q44,0501012G0,Male,21-25,*,*
201504,Q44,0501012G0,Male,26-30,*,*
201504,Q44,0501012G0,Male,36-40,*,*
201504,Q44,0501012G0,Male,41-45,*,*
201504,Q44,0501012G0,Male,46-50,*,*
201504,Q44,0501012G0,Male,51-55,*,*
201504,Q44,0501012G0,Male,56-60,*,*
201504,Q44,0501012G0,Male,61-65,*,*
201504,Q44,0501012G0,Male,66-70,*,*
201504,Q44,0501012G0,Male,76-80,*,*
201504,Q44,0501012G0,Male,81-85,*,*
201504,Q44,0501012G0,Male,86-90,*,*
201504,Q44,0501012G0,Male,91-95,*,*
201504,Q44,0501012G0,Unknown,Unknown,0,10
201504,Q44,0501012G0,Unknown,66-70,0,*
201504,Q44,0501013B0,Female,Unknown,*,*
201504,Q44,0501013B0,Female,0-1,15,15
201504,Q44,0501013B0,Female,2-5,17,17
201504,Q44,0501013B0,Female,6-10,10,10
201504,Q44,0501013B0,Female,11-15,5,5
201504,Q44,0501013B0,Female,16-20,6,7
201504,Q44,0501013B0,Female,21-25,*,*
201504,Q44,0501013B0,Female,26-30,5,5
201504,Q44,0501013B0,Female,31-35,6,6
201504,Q44,0501013B0,Female,36-40,11,11
201504,Q44,0501013B0,Female,41-45,12,13
201504,Q44,0501013B0,Female,46-50,11,11
201504,Q44,0501013B0,Female,51-55,13,13
201504,Q44,0501013B0,Female,56-60,*,*
201504,Q44,0501013B0,Female,61-65,15,15
201504,Q44,0501013B0,Female,66-70,9,11
201504,Q44,0501013B0,Female,71-75,5,6
201504,Q44,0501013B0,Female,76-80,6,6
201504,Q44,0501013B0,Female,81-85,5,5
201504,Q44,0501013B0,Female,86-90,*,*
201504,Q44,0501013B0,Male,Unknown,5,5
201504,Q44,0501013B0,Male,0-1,7,7
201504,Q44,0501013B0,Male,2-5,10,10
201504,Q44,0501013B0,Male,6-10,9,9
201504,Q44,0501013B0,Male,11-15,*,*
201504,Q44,0501013B0,Male,16-20,*,*
201504,Q44,0501013B0,Male,21-25,*,*
201504,Q44,0501013B0,Male,26-30,*,*
201504,Q44,0501013B0,Male,31-35,5,5
201504,Q44,0501013B0,Male,36-40,*,*
201504,Q44,0501013B0,Male,41-45,8,8
201504,Q44,0501013B0,Male,46-50,*,*
201504,Q44,0501013B0,Male,51-55,6,6
201504,Q44,0501013B0,Male,56-60,8,8
201504,Q44,0501013B0,Male,61-65,7,7
201504,Q44,0501013B0,Male,66-70,9,10
201504,Q44,0501013B0,Male,71-75,10,10
201504,Q44,0501013B0,Male,76-80,7,8
201504,Q44,0501013B0,Male,81-85,*,6
201504,Q44,0501013B0,Male,86-90,*,*
201504,Q44,0501013B0,Unknown,Unknown,5,26
201504,Q44,0501013B0,Unknown,0-1,0,*
201504,Q44,0501013B0,Unknown,6-10,0,*
201504,Q44,0501013B0,Unknown,41-45,0,*
201504,Q44,0501013B0,Unknown,46-50,0,*
201504,Q44,0501013B0,Unknown,61-65,0,*
201504,Q44,0501013B0,Unknown,81-85,0,*
