YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201701,Q44,0501011P0,Female,2-5,*,*
201701,Q44,0501011P0,Female,6-10,*,*
201701,Q44,0501011P0,Female,11-15,*,*
201701,Q44,0501011P0,Female,16-20,*,*
201701,Q44,0501011P0,Female,21-25,*,*
201701,Q44,0501011P0,Female,26-30,*,*
201701,Q44,0501011P0,Female,31-35,*,*
201701,Q44,0501011P0,Female,41-45,*,*
201701,Q44,0501011P0,Female,46-50,*,*
201701,Q44,0501011P0,Female,51-55,*,*
201701,Q44,0501011P0,Female,56-60,*,5
201701,Q44,0501011P0,Female,71-75,*,*
201701,Q44,0501011P0,Male,Unknown,*,*
201701,Q44,0501011P0,Male,0-1,*,*
201701,Q44,0501011P0,Male,2-5,*,*
201701,Q44,0501011P0,Male,6-10,*,*
201701,Q44,0501011P0,Male,16-20,*,*
201701,Q44,0501011P0,Male,21-25,*,*
201701,Q44,0501011P0,Male,26-30,*,*
201701,Q44,0501011P0,Male,46-50,*,*
201701,Q44,0501011P0,Male,66-70,*,*
201701,Q44,0501012G0,Female,Unknown,*,*
201701,Q44,0501012G0,Female,2-5,*,*
201701,Q44,0501012G0,Female,6-10,*,*
201701,Q44,0501012G0,Female,11-15,*,*
201701,Q44,0501012G0,Female,16-20,*,*
201701,Q44,0501012G0,Female,21-25,*,*
201701,Q44,0501012G0,Female,26-30,*,*
201701,Q44,0501012G0,Female,31-35,*,*
201701,Q44,0501012G0,Female,36-40,*,*
201701,Q44,0501012G0,Female,41-45,*,*
201701,Q44,0501012G0,Female,46-50,*,*
201701,Q44,0501012G0,Female,51-55,*,6
201701,Q44,0501012G0,Female,56-60,*,*
201701,Q44,0501012G0,Female,61-65,*,*
201701,Q44,0501012G0,Female,71-75,*,*
201701,Q44,0501012G0,Female,76-80,*,*
201701,Q44,0501012G0,Female,81-85,*,*
201701,Q44,0501012G0,Female,86-90,*,*
201701,Q44,0501012G0,Female,91-95,*,*
201701,Q44,0501012G0,Male,0-1,*,*
201701,Q44,0501012G0,Male,2-5,*,*
201701,Q44,0501012G0,Male,6-10,*,*
201701,Q44,0501012G0,Male,16-20,*,*
201701,Q44,0501012G0,Male,21-25,*,*
201701,Q44,0501012G0,Male,26-30,*,*
201701,Q44,0501012G0,Male,31-35,*,*
201701,Q44,0501012G0,Male,36-40,*,*
201701,Q44,0501012G0,Male,41-45,*,*
201701,Q44,0501012G0,Male,46-50,*,*
201701,Q44,0501012G0,Male,51-55,*,*
201701,Q44,0501012G0,Male,56-60,*,*
201701,Q44,0501012G0,Male,61-65,*,*
201701,Q44,0501012G0,Male,66-70,*,*
201701,Q44,0501012G0,Male,71-75,*,*
201701,Q44,0501012G0,Male,81-85,*,*
201701,Q44,0501012G0,Unknown,Unknown,*,*
201701,Q44,0501012G0,Unknown,71-75,0,*
201701,Q44,0501013B0,Female,Unknown,*,*
201701,Q44,0501013B0,Female,0-1,5,5
201701,Q44,0501013B0,Female,2-5,5,5
201701,Q44,0501013B0,Female,6-10,*,*
201701,Q44,0501013B0,Female,11-15,8,8
201701,Q44,0501013B0,Female,16-20,*,*
201701,Q44,0501013B0,Female,21-25,*,*
201701,Q44,0501013B0,Female,26-30,7,7
201701,Q44,0501013B0,Female,31-35,10,10
201701,Q44,0501013B0,Female,36-40,6,6
201701,Q44,0501013B0,Female,41-45,5,6
201701,Q44,0501013B0,Female,46-50,7,7
201701,Q44,0501013B0,Female,51-55,19,20
201701,Q44,0501013B0,Female,56-60,12,13
201701,Q44,0501013B0,Female,61-65,7,7
201701,Q44,0501013B0,Female,66-70,12,14
201701,Q44,0501013B0,Female,71-75,7,7
201701,Q44,0501013B0,Female,76-80,5,5
201701,Q44,0501013B0,Female,81-85,7,7
201701,Q44,0501013B0,Female,86-90,5,5
201701,Q44,0501013B0,Female,91-95,*,*
201701,Q44,0501013B0,Female,101-105,*,*
201701,Q44,0501013B0,Male,Unknown,*,*
201701,Q44,0501013B0,Male,0-1,8,8
201701,Q44,0501013B0,Male,2-5,12,12
201701,Q44,0501013B0,Male,6-10,7,7
201701,Q44,0501013B0,Male,11-15,*,*
201701,Q44,0501013B0,Male,16-20,*,*
201701,Q44,0501013B0,Male,21-25,8,8
201701,Q44,0501013B0,Male,26-30,*,*
201701,Q44,0501013B0,Male,31-35,5,5
201701,Q44,0501013B0,Male,36-40,5,5
201701,Q44,0501013B0,Male,41-45,*,*
201701,Q44,0501013B0,Male,46-50,7,7
201701,Q44,0501013B0,Male,51-55,7,7
201701,Q44,0501013B0,Male,56-60,8,8
201701,Q44,0501013B0,Male,61-65,*,*
201701,Q44,0501013B0,Male,66-70,7,8
201701,Q44,0501013B0,Male,71-75,13,14
201701,Q44,0501013B0,Male,76-80,*,*
201701,Q44,0501013B0,Male,81-85,*,5
