YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201506,Q44,0501011P0,Female,0-1,*,*
201506,Q44,0501011P0,Female,2-5,5,5
201506,Q44,0501011P0,Female,6-10,*,*
201506,Q44,0501011P0,Female,11-15,*,*
201506,Q44,0501011P0,Female,16-20,*,*
201506,Q44,0501011P0,Female,36-40,*,*
201506,Q44,0501011P0,Female,46-50,*,*
201506,Q44,0501011P0,Female,51-55,*,*
201506,Q44,0501011P0,Female,56-60,*,*
201506,Q44,0501011P0,Female,66-70,*,*
201506,Q44,0501011P0,Female,71-75,*,*
201506,Q44,0501011P0,Male,Unknown,*,*
201506,Q44,0501011P0,Male,0-1,*,*
201506,Q44,0501011P0,Male,6-10,*,*
201506,Q44,0501011P0,Male,11-15,*,*
201506,Q44,0501011P0,Male,16-20,*,*
201506,Q44,0501011P0,Male,21-25,*,*
201506,Q44,0501011P0,Male,31-35,*,*
201506,Q44,0501011P0,Male,36-40,*,*
201506,Q44,0501011P0,Male,66-70,*,*
201506,Q44,0501011P0,Unknown,Unknown,0,*
201506,Q44,0501011P0,Unknown,11-15,0,*
201506,Q44,0501011P0,Unknown,16-20,0,*
201506,Q44,0501012G0,Female,Unknown,*,*
201506,Q44,0501012G0,Female,2-5,*,*
201506,Q44,0501012G0,Female,6-10,*,*
201506,Q44,0501012G0,Female,11-15,5,5
201506,Q44,0501012G0,Female,21-25,*,*
201506,Q44,0501012G0,Female,26-30,*,*
201506,Q44,0501012G0,Female,31-35,*,*
201506,Q44,0501012G0,Female,36-40,*,*
201506,Q44,0501012G0,Female,41-45,5,5
201506,Q44,0501012G0,Female,46-50,*,*
201506,Q44,0501012G0,Female,51-55,*,*
201506,Q44,0501012G0,Female,56-60,*,*
201506,Q44,0501012G0,Female,61-65,*,*
201506,Q44,0501012G0,Female,66-70,*,*
201506,Q44,0501012G0,Female,71-75,*,*
201506,Q44,0501012G0,Female,76-80,*,*
201506,Q44,0501012G0,Female,86-90,*,*
201506,Q44,0501012G0,Female,91-95,*,*
201506,Q44,0501012G0,Female,101-105,*,*
201506,Q44,0501012G0,Male,Unknown,*,*
201506,Q44,0501012G0,Male,0-1,*,*
201506,Q44,0501012G0,Male,2-5,*,*
201506,Q44,0501012G0,Male,6-10,*,*
201506,Q44,0501012G0,Male,16-20,*,*
201506,Q44,0501012G0,Male,21-25,*,*
201506,Q44,0501012G0,Male,31-35,*,*
201506,Q44,0501012G0,Male,36-40,*,*
201506,Q44,0501012G0,Male,41-45,*,*
201506,Q44,0501012G0,Male,46-50,*,*
201506,Q44,0501012G0,Male,51-55,*,*
201506,Q44,0501012G0,Male,56-60,*,*
201506,Q44,0501012G0,Male,61-65,*,*
201506,Q44,0501012G0,Male,66-70,*,*
201506,Q44,0501012G0,Male,71-75,*,*
201506,Q44,0501012G0,Male,76-80,*,*
201506,Q44,0501012G0,Male,81-85,*,*
201506,Q44,0501012G0,Male,86-90,*,*
201506,Q44,0501012G0,Male,91-95,*,*
201506,Q44,0501012G0,Unknown,Unknown,*,14
201506,Q44,0501012G0,Unknown,11-15,0,*
201506,Q44,0501012G0,Unknown,21-25,0,*
201506,Q44,0501012G0,Unknown,26-30,0,*
201506,Q44,0501012G0,Unknown,41-45,0,*
201506,Q44,0501012G0,Unknown,51-55,0,*
201506,Q44,0501012G0,Unknown,71-75,0,*
201506,Q44,0501012G0,Unknown,76-80,0,*
201506,Q44,0501012G0,Unknown,86-90,0,*
201506,Q44,0501013B0,Female,0-1,8,8
201506,Q44,0501013B0,Female,2-5,*,*
201506,Q44,0501013B0,Female,6-10,*,*
201506,Q44,0501013B0,Female,11-15,6,6
201506,Q44,0501013B0,Female,16-20,*,*
201506,Q44,0501013B0,Female,21-25,*,*
201506,Q44,0501013B0,Female,26-30,*,*
201506,Q44,0501013B0,Female,31-35,5,5
201506,Q44,0501013B0,Female,36-40,6,6
201506,Q44,0501013B0,Female,41-45,*,*
201506,Q44,0501013B0,Female,46-50,*,*
201506,Q44,0501013B0,Female,51-55,5,6
201506,Q44,0501013B0,Female,56-60,*,*
201506,Q44,0501013B0,Female,61-65,*,*
201506,Q44,0501013B0,Female,66-70,*,*
201506,Q44,0501013B0,Female,71-75,*,*
201506,Q44,0501013B0,Female,76-80,5,5
201506,Q44,0501013B0,Female,81-85,*,*
201506,Q44,0501013B0,Female,86-90,*,*
201506,Q44,0501013B0,Female,96-100,*,*
201506,Q44,0501013B0,Male,Unknown,*,*
201506,Q44,0501013B0,Male,0-1,10,10
201506,Q44,0501013B0,Male,2-5,9,9
201506,Q44,0501013B0,Male,6-10,10,10
201506,Q44,0501013B0,Male,11-15,*,*
201506,Q44,0501013B0,Male,26-30,*,*
201506,Q44,0501013B0,Male,31-35,*,*
201506,Q44,0501013B0,Male,36-40,*,*
201506,Q44,0501013B0,Male,41-45,*,*
201506,Q44,0501013B0,Male,46-50,*,*
201506,Q44,0501013B0,Male,51-55,8,8
201506,Q44,0501013B0,Male,56-60,5,5
201506,Q44,0501013B0,Male,61-65,*,5
201506,Q44,0501013B0,Male,66-70,*,*
201506,Q44,0501013B0,Male,71-75,*,*
201506,Q44,0501013B0,Male,76-80,*,*
201506,Q44,0501013B0,Male,81-85,*,*
201506,Q44,0501013B0,Male,86-90,*,*
201506,Q44,0501013B0,Unknown,Unknown,*,32
201506,Q44,0501013B0,Unknown,0-1,0,*
201506,Q44,0501013B0,Unknown,2-5,0,*
201506,Q44,0501013B0,Unknown,11-15,0,*
201506,Q44,0501013B0,Unknown,16-20,0,*
201506,Q44,0501013B0,Unknown,26-30,0,*
201506,Q44,0501013B0,Unknown,36-40,0,*
201506,Q44,0501013B0,Unknown,61-65,0,*
201506,Q44,0501013B0,Unknown,71-75,0,*
201506,Q44,0501013B0,Unknown,76-80,0,*
201506,Q44,0501013B0,Unknown,81-85,0,*
201506,Q44,0501013K0,Female,2-5,*,*
201506,Q44,0501013K0,Female,6-10,*,*
201506,Q44,0501013K0,Female,11-15,*,*
201506,Q44,0501013K0,Female,16-20,*,*
201506,Q44,0501013K0,Female,21-25,*,*
201506,Q44,0501013K0,Female,26-30,*,*
201506,Q44,0501013K0,Female,31-35,*,*
201506,Q44,0501013K0,Female,36-40,*,*
201506,Q44,0501013K0,Female,41-45,*,*
201506,Q44,0501013K0,Female,46-50,*,*
201506,Q44,0501013K0,Female,56-60,*,*
201506,Q44,0501013K0,Female,61-65,*,*
201506,Q44,0501013K0,Female,71-75,*,*
201506,Q44,0501013K0,Female,76-80,*,*
201506,Q44,0501013K0,Female,81-85,*,*
201506,Q44,0501013K0,Female,96-100,*,*
201506,Q44,0501013K0,Male,Unknown,*,*
201506,Q44,0501013K0,Male,0-1,*,*
201506,Q44,0501013K0,Male,2-5,*,*
201506,Q44,0501013K0,Male,16-20,*,*
201506,Q44,0501013K0,Male,21-25,*,*
201506,Q44,0501013K0,Male,26-30,*,*
201506,Q44,0501013K0,Male,56-60,*,*
201506,Q44,0501013K0,Male,61-65,*,*
201506,Q44,0501013K0,Male,71-75,*,*
201506,Q44,0501013K0,Male,76-80,*,*
201506,Q44,0501013K0,Male,81-85,*,*
201506,Q44,0501013K0,Unknown,Unknown,0,*
201506,Q44,0501013K0,Unknown,2-5,0,*
201506,Q44,0501013K0,Unknown,36-40,0,*
201506,Q44,0501013K0,Unknown,86-90,0,*
201506,Q44,0501015P0,Female,71-75,*,*
201506,Q44,0501015P0,Male,36-40,*,*
201506,Q44,0501015P0,Male,71-75,*,*
201506,Q44,0501015P0,Unknown,Unknown,0,*
201506,Q44,0501021A0,Female,2-5,*,*
201506,Q44,0501021A0,Male,0-1,*,*
201506,Q44,0501021A0,Male,2-5,*,*
201506,Q44,0501021L0,Female,21-25,*,*
201506,Q44,0501021L0,Female,26-30,*,*
201506,Q44,0501021L0,Female,46-50,*,*
201506,Q44,0501021L0,Female,51-55,*,*
201506,Q44,0501021L0,Female,61-65,*,*
201506,Q44,0501021L0,Female,71-75,*,*
201506,Q44,0501021L0,Female,76-80,*,*
201506,Q44,0501021L0,Female,81-85,*,*
201506,Q44,0501021L0,Female,86-90,*,*
201506,Q44,0501021L0,Male,71-75,*,*
201506,Q44,0501021L0,Unknown,Unknown,0,8
201506,Q44,0501021L0,Unknown,41-45,0,*
201506,Q44,0501021L0,Unknown,66-70,0,*
201506,Q44,0501021M0,Female,61-65,*,*
201506,Q44,0501021M0,Female,81-85,*,*
201506,Q44,0501030I0,Female,16-20,*,*
201506,Q44,0501030I0,Female,31-35,*,*
201506,Q44,0501030I0,Female,36-40,*,*
201506,Q44,0501030I0,Female,41-45,*,*
201506,Q44,0501030I0,Female,46-50,*,*
201506,Q44,0501030I0,Female,51-55,*,*
201506,Q44,0501030I0,Female,56-60,*,*
201506,Q44,0501030I0,Female,61-65,5,5
201506,Q44,0501030I0,Female,66-70,7,7
201506,Q44,0501030I0,Female,71-75,7,7
201506,Q44,0501030I0,Female,76-80,5,7
201506,Q44,0501030I0,Female,81-85,*,*
201506,Q44,0501030I0,Female,86-90,*,*
201506,Q44,0501030I0,Male,26-30,*,*
201506,Q44,0501030I0,Male,31-35,*,*
201506,Q44,0501030I0,Male,36-40,*,*
201506,Q44,0501030I0,Male,46-50,*,*
201506,Q44,0501030I0,Male,51-55,*,*
201506,Q44,0501030I0,Male,56-60,*,*
201506,Q44,0501030I0,Male,61-65,*,*
201506,Q44,0501030I0,Male,66-70,*,*
