YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201706,Q44,0501011P0,Female,2-5,*,*
201706,Q44,0501011P0,Female,11-15,*,*
201706,Q44,0501011P0,Female,16-20,*,*
201706,Q44,0501011P0,Female,21-25,*,*
201706,Q44,0501011P0,Female,26-30,*,*
201706,Q44,0501011P0,Female,31-35,*,*
201706,Q44,0501011P0,Female,36-40,*,*
201706,Q44,0501011P0,Female,51-55,*,*
201706,Q44,0501011P0,Female,56-60,*,*
201706,Q44,0501011P0,Female,71-75,*,*
201706,Q44,0501011P0,Male,0-1,*,*
201706,Q44,0501011P0,Male,2-5,*,*
201706,Q44,0501011P0,Male,16-20,*,*
201706,Q44,0501011P0,Male,21-25,*,*
201706,Q44,0501011P0,Male,36-40,*,*
201706,Q44,0501011P0,Male,56-60,*,*
201706,Q44,0501011P0,Male,66-70,*,*
201706,Q44,0501011P0,Unknown,2-5,0,*
201706,Q44,0501012G0,Female,Unknown,*,*
201706,Q44,0501012G0,Female,2-5,*,*
201706,Q44,0501012G0,Female,6-10,*,*
201706,Q44,0501012G0,Female,11-15,*,*
201706,Q44,0501012G0,Female,16-20,*,*
201706,Q44,0501012G0,Female,21-25,*,*
201706,Q44,0501012G0,Female,26-30,*,*
201706,Q44,0501012G0,Female,31-35,*,*
201706,Q44,0501012G0,Female,36-40,*,*
201706,Q44,0501012G0,Female,41-45,*,*
201706,Q44,0501012G0,Female,46-50,*,*
201706,Q44,0501012G0,Female,51-55,*,*
201706,Q44,0501012G0,Female,56-60,*,*
201706,Q44,0501012G0,Female,61-65,*,*
201706,Q44,0501012G0,Female,71-75,*,*
201706,Q44,0501012G0,Female,76-80,*,*
201706,Q44,0501012G0,Female,81-85,*,*
201706,Q44,0501012G0,Female,91-95,*,*
201706,Q44,0501012G0,Male,Unknown,*,*
201706,Q44,0501012G0,Male,2-5,*,*
201706,Q44,0501012G0,Male,6-10,*,*
201706,Q44,0501012G0,Male,11-15,*,*
201706,Q44,0501012G0,Male,26-30,*,*
201706,Q44,0501012G0,Male,31-35,6,6
201706,Q44,0501012G0,Male,36-40,5,5
201706,Q44,0501012G0,Male,41-45,*,6
201706,Q44,0501012G0,Male,46-50,*,*
201706,Q44,0501012G0,Male,51-55,*,*
201706,Q44,0501012G0,Male,56-60,5,7
201706,Q44,0501012G0,Male,61-65,*,*
201706,Q44,0501012G0,Male,66-70,*,*
201706,Q44,0501012G0,Male,71-75,*,*
201706,Q44,0501012G0,Male,76-80,*,*
201706,Q44,0501012G0,Male,86-90,*,*
201706,Q44,0501012G0,Unknown,Unknown,0,*
201706,Q44,0501013B0,Female,Unknown,*,*
201706,Q44,0501013B0,Female,0-1,*,*
201706,Q44,0501013B0,Female,2-5,6,6
201706,Q44,0501013B0,Female,6-10,*,*
201706,Q44,0501013B0,Female,11-15,*,*
201706,Q44,0501013B0,Female,16-20,*,*
201706,Q44,0501013B0,Female,21-25,6,6
201706,Q44,0501013B0,Female,26-30,*,*
201706,Q44,0501013B0,Female,31-35,7,7
201706,Q44,0501013B0,Female,36-40,7,8
201706,Q44,0501013B0,Female,41-45,5,5
201706,Q44,0501013B0,Female,46-50,*,*
201706,Q44,0501013B0,Female,51-55,*,*
201706,Q44,0501013B0,Female,56-60,7,7
201706,Q44,0501013B0,Female,61-65,7,7
201706,Q44,0501013B0,Female,66-70,5,5
201706,Q44,0501013B0,Female,71-75,*,*
201706,Q44,0501013B0,Female,76-80,*,*
201706,Q44,0501013B0,Female,81-85,*,*
