YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201605,Q44,0501011P0,Female,0-1,*,*
201605,Q44,0501011P0,Female,2-5,*,*
201605,Q44,0501011P0,Female,6-10,*,*
201605,Q44,0501011P0,Female,11-15,*,*
201605,Q44,0501011P0,Female,16-20,*,*
201605,Q44,0501011P0,Female,21-25,*,*
201605,Q44,0501011P0,Female,26-30,*,*
201605,Q44,0501011P0,Female,31-35,*,*
201605,Q44,0501011P0,Female,56-60,*,*
201605,Q44,0501011P0,Female,71-75,*,*
201605,Q44,0501011P0,Female,91-95,*,*
201605,Q44,0501011P0,Male,0-1,*,*
201605,Q44,0501011P0,Male,2-5,*,*
201605,Q44,0501011P0,Male,16-20,*,*
201605,Q44,0501011P0,Male,21-25,*,*
201605,Q44,0501011P0,Male,26-30,*,*
201605,Q44,0501011P0,Male,46-50,*,*
201605,Q44,0501011P0,Male,76-80,*,*
201605,Q44,0501011P0,Unknown,Unknown,0,*
201605,Q44,0501012G0,Female,Unknown,*,*
201605,Q44,0501012G0,Female,0-1,*,*
201605,Q44,0501012G0,Female,6-10,*,*
201605,Q44,0501012G0,Female,11-15,*,*
201605,Q44,0501012G0,Female,16-20,5,5
201605,Q44,0501012G0,Female,21-25,*,*
201605,Q44,0501012G0,Female,26-30,*,*
201605,Q44,0501012G0,Female,31-35,*,*
201605,Q44,0501012G0,Female,36-40,*,*
201605,Q44,0501012G0,Female,41-45,*,*
201605,Q44,0501012G0,Female,46-50,*,*
201605,Q44,0501012G0,Female,51-55,*,*
201605,Q44,0501012G0,Female,56-60,*,8
201605,Q44,0501012G0,Female,61-65,*,*
201605,Q44,0501012G0,Female,66-70,5,6
201605,Q44,0501012G0,Female,71-75,*,*
201605,Q44,0501012G0,Female,76-80,*,*
201605,Q44,0501012G0,Female,86-90,*,*
201605,Q44,0501012G0,Female,91-95,*,*
201605,Q44,0501012G0,Male,Unknown,*,*
201605,Q44,0501012G0,Male,0-1,*,*
201605,Q44,0501012G0,Male,2-5,*,*
201605,Q44,0501012G0,Male,6-10,*,*
201605,Q44,0501012G0,Male,11-15,*,*
201605,Q44,0501012G0,Male,16-20,*,*
201605,Q44,0501012G0,Male,21-25,*,*
201605,Q44,0501012G0,Male,31-35,*,*
201605,Q44,0501012G0,Male,36-40,*,*
201605,Q44,0501012G0,Male,46-50,5,5
201605,Q44,0501012G0,Male,51-55,*,*
201605,Q44,0501012G0,Male,56-60,*,*
201605,Q44,0501012G0,Male,61-65,*,*
201605,Q44,0501012G0,Male,66-70,*,5
201605,Q44,0501012G0,Male,71-75,*,*
201605,Q44,0501012G0,Male,76-80,*,*
201605,Q44,0501012G0,Male,81-85,*,*
201605,Q44,0501012G0,Male,86-90,*,*
201605,Q44,0501012G0,Unknown,Unknown,0,5
201605,Q44,0501012G0,Unknown,2-5,0,*
201605,Q44,0501012G0,Unknown,6-10,*,*
201605,Q44,0501012G0,Unknown,46-50,0,*
201605,Q44,0501013B0,Female,0-1,6,6
201605,Q44,0501013B0,Female,2-5,8,8
201605,Q44,0501013B0,Female,6-10,7,7
201605,Q44,0501013B0,Female,11-15,*,*
201605,Q44,0501013B0,Female,16-20,*,*
201605,Q44,0501013B0,Female,21-25,*,*
201605,Q44,0501013B0,Female,26-30,5,5
201605,Q44,0501013B0,Female,31-35,*,*
201605,Q44,0501013B0,Female,36-40,*,*
201605,Q44,0501013B0,Female,41-45,7,7
201605,Q44,0501013B0,Female,46-50,6,6
201605,Q44,0501013B0,Female,51-55,6,7
201605,Q44,0501013B0,Female,56-60,*,*
201605,Q44,0501013B0,Female,61-65,*,*
201605,Q44,0501013B0,Female,66-70,6,7
201605,Q44,0501013B0,Female,71-75,*,*
201605,Q44,0501013B0,Female,76-80,7,8
201605,Q44,0501013B0,Female,81-85,5,5
201605,Q44,0501013B0,Female,86-90,*,*
201605,Q44,0501013B0,Male,Unknown,*,*
201605,Q44,0501013B0,Male,0-1,9,9
201605,Q44,0501013B0,Male,2-5,12,12
201605,Q44,0501013B0,Male,6-10,10,10
201605,Q44,0501013B0,Male,11-15,*,*
201605,Q44,0501013B0,Male,16-20,*,*
201605,Q44,0501013B0,Male,21-25,*,*
201605,Q44,0501013B0,Male,26-30,*,*
201605,Q44,0501013B0,Male,31-35,5,5
201605,Q44,0501013B0,Male,41-45,*,*
201605,Q44,0501013B0,Male,46-50,*,*
201605,Q44,0501013B0,Male,51-55,7,7
201605,Q44,0501013B0,Male,56-60,*,*
201605,Q44,0501013B0,Male,61-65,*,5
201605,Q44,0501013B0,Male,66-70,9,9
201605,Q44,0501013B0,Male,71-75,*,*
201605,Q44,0501013B0,Male,76-80,*,*
201605,Q44,0501013B0,Male,81-85,*,*
201605,Q44,0501013B0,Male,86-90,*,*
201605,Q44,0501013B0,Male,91-95,*,*
201605,Q44,0501013B0,Unknown,Unknown,0,20
201605,Q44,0501013B0,Unknown,61-65,0,*
201605,Q44,0501013K0,Female,2-5,*,*
201605,Q44,0501013K0,Female,6-10,*,*
201605,Q44,0501013K0,Female,31-35,*,*
201605,Q44,0501013K0,Female,36-40,*,*
201605,Q44,0501013K0,Female,46-50,*,*
201605,Q44,0501013K0,Female,56-60,*,*
201605,Q44,0501013K0,Female,61-65,*,*
201605,Q44,0501013K0,Female,66-70,*,*
201605,Q44,0501013K0,Female,71-75,*,*
201605,Q44,0501013K0,Female,86-90,*,*
201605,Q44,0501013K0,Male,2-5,*,*
201605,Q44,0501013K0,Male,26-30,*,*
201605,Q44,0501013K0,Male,36-40,*,*
201605,Q44,0501013K0,Male,51-55,*,*
201605,Q44,0501013K0,Male,71-75,*,*
201605,Q44,0501013K0,Male,76-80,*,*
201605,Q44,0501013K0,Male,81-85,*,*
201605,Q44,0501013K0,Unknown,Unknown,0,*
201605,Q44,0501013K0,Unknown,2-5,0,*
201605,Q44,0501013K0,Unknown,46-50,0,*
201605,Q44,0501015P0,Female,31-35,*,*
201605,Q44,0501015P0,Female,71-75,*,*
201605,Q44,0501021L0,Female,6-10,*,*
201605,Q44,0501021L0,Female,16-20,*,*
201605,Q44,0501021L0,Female,26-30,*,*
201605,Q44,0501021L0,Female,31-35,*,*
201605,Q44,0501021L0,Female,51-55,*,*
201605,Q44,0501021L0,Female,61-65,*,*
201605,Q44,0501021L0,Female,66-70,*,*
201605,Q44,0501021L0,Female,71-75,*,*
201605,Q44,0501021L0,Female,76-80,*,*
201605,Q44,0501021L0,Female,86-90,*,*
201605,Q44,0501021L0,Female,101-105,*,*
201605,Q44,0501021L0,Male,21-25,*,*
201605,Q44,0501021L0,Male,46-50,*,*
201605,Q44,0501021L0,Male,66-70,*,*
201605,Q44,0501021L0,Male,76-80,*,*
201605,Q44,0501021M0,Female,61-65,*,*
201605,Q44,0501030I0,Female,16-20,*,*
201605,Q44,0501030I0,Female,21-25,*,*
201605,Q44,0501030I0,Female,26-30,7,7
201605,Q44,0501030I0,Female,31-35,*,*
201605,Q44,0501030I0,Female,41-45,*,*
201605,Q44,0501030I0,Female,51-55,*,*
201605,Q44,0501030I0,Female,56-60,*,*
201605,Q44,0501030I0,Female,61-65,*,*
201605,Q44,0501030I0,Female,66-70,6,7
201605,Q44,0501030I0,Female,71-75,*,*
201605,Q44,0501030I0,Female,76-80,*,*
201605,Q44,0501030I0,Female,81-85,*,*
201605,Q44,0501030I0,Female,86-90,*,*
201605,Q44,0501030I0,Male,Unknown,*,*
201605,Q44,0501030I0,Male,16-20,*,*
201605,Q44,0501030I0,Male,21-25,*,*
201605,Q44,0501030I0,Male,26-30,*,*
201605,Q44,0501030I0,Male,31-35,*,*
201605,Q44,0501030I0,Male,46-50,*,*
201605,Q44,0501030I0,Male,56-60,*,*
201605,Q44,0501030I0,Male,61-65,*,*
201605,Q44,0501030I0,Male,66-70,*,*
201605,Q44,0501030I0,Male,71-75,6,6
201605,Q44,0501030I0,Male,76-80,*,*
201605,Q44,0501030I0,Unknown,Unknown,0,*
201605,Q44,0501030L0,Female,11-15,*,*
201605,Q44,0501030L0,Female,16-20,6,6
201605,Q44,0501030L0,Female,21-25,*,*
201605,Q44,0501030L0,Female,31-35,*,*
201605,Q44,0501030L0,Female,36-40,*,*
201605,Q44,0501030L0,Female,41-45,*,*
201605,Q44,0501030L0,Female,46-50,*,*
201605,Q44,0501030L0,Female,51-55,*,*
201605,Q44,0501030L0,Female,56-60,*,*
201605,Q44,0501030L0,Female,61-65,*,*
201605,Q44,0501030L0,Male,11-15,*,*
201605,Q44,0501030L0,Male,16-20,*,*
201605,Q44,0501030L0,Male,21-25,*,*
201605,Q44,0501030L0,Male,36-40,*,*
201605,Q44,0501030L0,Male,41-45,*,*
201605,Q44,0501030L0,Male,61-65,*,*
201605,Q44,0501030L0,Male,66-70,*,*
201605,Q44,0501030L0,Male,71-75,*,*
201605,Q44,0501030L0,Unknown,21-25,0,*
201605,Q44,0501030P0,Female,66-70,*,*
201605,Q44,0501030P0,Female,91-95,*,*
201605,Q44,0501030P0,Male,61-65,*,*
201605,Q44,0501030T0,Female,31-35,*,*
201605,Q44,0501030T0,Female,36-40,*,*
201605,Q44,0501030T0,Female,81-85,*,*
201605,Q44,0501030T0,Male,16-20,*,*
201605,Q44,0501030T0,Male,56-60,*,*
201605,Q44,0501030T0,Male,61-65,*,*
201605,Q44,0501030T0,Male,66-70,*,*
201605,Q44,0501030V0,Male,66-70,*,*
201605,Q44,0501050A0,Female,21-25,*,*
201605,Q44,0501050A0,Female,31-35,*,*
201605,Q44,0501050A0,Female,56-60,*,*
201605,Q44,0501050A0,Female,66-70,*,*
201605,Q44,0501050A0,Female,71-75,*,*
201605,Q44,0501050A0,Female,76-80,*,*
201605,Q44,0501050A0,Female,81-85,*,*
201605,Q44,0501050A0,Male,61-65,*,*
201605,Q44,0501050A0,Male,66-70,*,*
201605,Q44,0501050A0,Male,71-75,*,*
201605,Q44,0501050A0,Male,76-80,*,*
201605,Q44,0501050B0,Female,0-1,*,*
201605,Q44,0501050B0,Female,2-5,*,*
201605,Q44,0501050B0,Female,6-10,*,*
201605,Q44,0501050B0,Female,11-15,*,*
201605,Q44,0501050B0,Female,16-20,*,*
201605,Q44,0501050B0,Female,21-25,*,*
201605,Q44,0501050B0,Female,26-30,6,6
201605,Q44,0501050B0,Female,31-35,*,*
201605,Q44,0501050B0,Female,36-40,*,*
201605,Q44,0501050B0,Female,41-45,*,*
201605,Q44,0501050B0,Female,46-50,*,*
201605,Q44,0501050B0,Female,51-55,*,*
201605,Q44,0501050B0,Female,56-60,*,*
201605,Q44,0501050B0,Female,61-65,*,*
201605,Q44,0501050B0,Female,66-70,*,*
201605,Q44,0501050B0,Female,71-75,*,*
201605,Q44,0501050B0,Female,76-80,*,*
201605,Q44,0501050B0,Female,81-85,*,*
201605,Q44,0501050B0,Male,2-5,*,*
201605,Q44,0501050B0,Male,11-15,*,*
201605,Q44,0501050B0,Male,26-30,*,*
201605,Q44,0501050B0,Male,31-35,*,*
201605,Q44,0501050B0,Male,36-40,*,*
201605,Q44,0501050B0,Male,41-45,*,*
201605,Q44,0501050B0,Male,51-55,*,*
201605,Q44,0501050B0,Male,61-65,*,*
201605,Q44,0501050B0,Male,66-70,*,*
201605,Q44,0501050B0,Male,71-75,*,*
201605,Q44,0501050B0,Male,76-80,*,*
201605,Q44,0501050B0,Male,81-85,*,*
201605,Q44,0501050B0,Unknown,Unknown,0,7
201605,Q44,0501050B0,Unknown,41-45,0,*
201605,Q44,0501050B0,Unknown,61-65,0,*
201605,Q44,0501050C0,Female,Unknown,*,*
201605,Q44,0501050C0,Female,31-35,*,*
201605,Q44,0501050C0,Male,51-55,*,*
201605,Q44,0501050C0,Male,56-60,*,*
201605,Q44,0501050H0,Female,0-1,*,*
201605,Q44,0501050H0,Female,2-5,*,*
201605,Q44,0501050H0,Female,6-10,*,*
201605,Q44,0501050H0,Male,0-1,*,*
201605,Q44,0501050H0,Male,2-5,*,*
201605,Q44,0501050H0,Male,16-20,*,*
201605,Q44,0501050H0,Unknown,11-15,*,*
201605,Q44,0501050N0,Female,46-50,*,*
201605,Q44,0501060D0,Female,91-95,*,*
201605,Q44,0501070I0,Male,71-75,*,*
201605,Q44,0501070X0,Male,56-60,*,*
201605,Q44,0501080D0,Female,6-10,*,*
201605,Q44,0501080D0,Male,46-50,*,*
201605,Q44,0501080D0,Male,66-70,*,*
201605,Q44,0501080D0,Male,76-80,*,*
201605,Q44,0501080W0,Female,Unknown,*,*
201605,Q44,0501080W0,Female,2-5,*,*
201605,Q44,0501080W0,Female,6-10,*,*
201605,Q44,0501080W0,Female,16-20,*,*
201605,Q44,0501080W0,Female,21-25,*,*
201605,Q44,0501080W0,Female,26-30,*,*
201605,Q44,0501080W0,Female,31-35,*,*
201605,Q44,0501080W0,Female,36-40,*,*
201605,Q44,0501080W0,Female,41-45,*,*
201605,Q44,0501080W0,Female,46-50,*,*
201605,Q44,0501080W0,Female,51-55,*,*
201605,Q44,0501080W0,Female,61-65,*,*
201605,Q44,0501080W0,Female,66-70,*,*
201605,Q44,0501080W0,Female,71-75,*,*
201605,Q44,0501080W0,Female,76-80,*,*
201605,Q44,0501080W0,Female,81-85,6,7
201605,Q44,0501080W0,Female,86-90,*,*
201605,Q44,0501080W0,Female,91-95,*,*
201605,Q44,0501080W0,Male,6-10,*,*
201605,Q44,0501080W0,Male,31-35,*,*
201605,Q44,0501080W0,Male,66-70,*,*
201605,Q44,0501080W0,Male,71-75,*,*
201605,Q44,0501080W0,Male,76-80,*,*
201605,Q44,0501080W0,Male,81-85,5,5
201605,Q44,0501080W0,Male,86-90,*,*
201605,Q44,0501080W0,Unknown,Unknown,0,*
201605,Q44,0501080W0,Unknown,26-30,0,*
201605,Q44,0501080W0,Unknown,36-40,0,*
201605,Q44,0501110C0,Female,16-20,*,*
201605,Q44,0501110C0,Female,26-30,*,*
201605,Q44,0501110C0,Female,31-35,*,*
201605,Q44,0501110C0,Female,56-60,*,*
201605,Q44,0501110C0,Female,61-65,*,*
201605,Q44,0501110C0,Female,66-70,*,*
201605,Q44,0501110C0,Female,81-85,*,*
201605,Q44,0501110C0,Male,36-40,*,*
201605,Q44,0501120L0,Female,31-35,*,*
201605,Q44,0501120L0,Female,36-40,*,*
201605,Q44,0501120L0,Female,56-60,*,*
201605,Q44,0501120L0,Female,61-65,*,*
201605,Q44,0501120L0,Female,76-80,*,*
201605,Q44,0501120L0,Female,81-85,5,5
201605,Q44,0501120L0,Female,86-90,*,*
201605,Q44,0501120L0,Male,86-90,*,*
201605,Q44,0501120P0,Female,26-30,*,*
