YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
202211,QNC,0501080W0,Female,96-100,30,35
202211,QNC,0501080W0,Female,101-105,7,7
202211,QNC,0501080W0,Male,0-1,35,38
202211,QNC,0501080W0,Male,2-5,42,46
202211,QNC,0501080W0,Male,6-10,43,46
202211,QNC,0501080W0,Male,11-15,21,21
202211,QNC,0501080W0,Male,16-20,12,14
202211,QNC,0501080W0,Male,21-25,8,9
202211,QNC,0501080W0,Male,26-30,15,15
202211,QNC,0501080W0,Male,31-35,17,17
202211,QNC,0501080W0,Male,36-40,11,11
202211,QNC,0501080W0,Male,41-45,16,17
202211,QNC,0501080W0,Male,46-50,22,24
202211,QNC,0501080W0,Male,51-55,38,40
202211,QNC,0501080W0,Male,56-60,40,44
202211,QNC,0501080W0,Male,61-65,61,61
202211,QNC,0501080W0,Male,66-70,73,80
202211,QNC,0501080W0,Male,71-75,111,118
202211,QNC,0501080W0,Male,76-80,127,135
202211,QNC,0501080W0,Male,81-85,125,155
202211,QNC,0501080W0,Male,86-90,70,79
202211,QNC,0501080W0,Male,91-95,41,43
202211,QNC,0501080W0,Male,96-100,8,10
202211,QNC,0501080W0,Male,101-105,*,*
202211,QNC,0501080W0,Unknown,Unknown,*,17
202211,QNC,0501080W0,Unknown,2-5,*,*
202211,QNC,0501080W0,Unknown,6-10,0,*
202211,QNC,0501080W0,Unknown,41-45,0,*
202211,QNC,0501080W0,Unknown,56-60,0,*
202211,QNC,0501080W0,Unknown,61-65,0,*
202211,QNC,0501080W0,Unknown,71-75,0,*
202211,QNC,0501080W0,Unknown,81-85,0,*
202211,QNC,0501080W0,Unknown,86-90,0,*
202211,QNC,0501080W0,Unknown,91-95,0,*
202211,QNC,0501090K0,Female,41-45,*,*
202211,QNC,0501090K0,Female,51-55,*,*
202211,QNC,0501090K0,Male,36-40,*,*
202211,QNC,0501090K0,Male,56-60,*,*
202211,QNC,0501090R0,Female,2-5,*,*
202211,QNC,0501090R0,Female,11-15,*,*
202211,QNC,0501090R0,Female,21-25,*,*
202211,QNC,0501090R0,Female,61-65,*,*
202211,QNC,0501090R0,Female,66-70,*,*
202211,QNC,0501090R0,Female,71-75,*,*
202211,QNC,0501090R0,Female,86-90,*,*
202211,QNC,0501090R0,Male,0-1,*,*
202211,QNC,0501090R0,Male,2-5,*,*
202211,QNC,0501090R0,Male,6-10,*,*
202211,QNC,0501090R0,Male,11-15,*,*
202211,QNC,0501090R0,Male,36-40,*,*
202211,QNC,0501090R0,Male,46-50,*,*
202211,QNC,0501090R0,Male,51-55,*,*
202211,QNC,0501090R0,Male,71-75,*,*
202211,QNC,0501100H0,Female,46-50,*,5
202211,QNC,0501100H0,Female,51-55,*,*
202211,QNC,0501100H0,Female,56-60,*,*
202211,QNC,0501100H0,Female,61-65,*,*
202211,QNC,0501100H0,Female,66-70,*,*
202211,QNC,0501100H0,Female,71-75,*,*
202211,QNC,0501100H0,Female,76-80,*,*
202211,QNC,0501100H0,Female,86-90,*,*
202211,QNC,0501100H0,Male,46-50,*,*
202211,QNC,0501100H0,Male,51-55,*,*
202211,QNC,0501100H0,Male,56-60,*,*
202211,QNC,0501100H0,Male,61-65,*,*
202211,QNC,0501100H0,Male,66-70,*,*
202211,QNC,0501100H0,Male,71-75,*,6
202211,QNC,0501100H0,Male,76-80,*,*
202211,QNC,0501100H0,Male,81-85,*,*
202211,QNC,0501110C0,Female,6-10,*,*
202211,QNC,0501110C0,Female,11-15,8,8
202211,QNC,0501110C0,Female,16-20,25,25
202211,QNC,0501110C0,Female,21-25,56,56
202211,QNC,0501110C0,Female,26-30,71,75
202211,QNC,0501110C0,Female,31-35,101,106
202211,QNC,0501110C0,Female,36-40,67,70
202211,QNC,0501110C0,Female,41-45,39,40
202211,QNC,0501110C0,Female,46-50,35,35
202211,QNC,0501110C0,Female,51-55,35,38
202211,QNC,0501110C0,Female,56-60,35,35
202211,QNC,0501110C0,Female,61-65,36,41
202211,QNC,0501110C0,Female,66-70,26,27
202211,QNC,0501110C0,Female,71-75,28,29
202211,QNC,0501110C0,Female,76-80,27,28
202211,QNC,0501110C0,Female,81-85,15,15
202211,QNC,0501110C0,Female,86-90,10,12
202211,QNC,0501110C0,Female,91-95,6,6
202211,QNC,0501110C0,Male,0-1,*,*
202211,QNC,0501110C0,Male,6-10,*,*
202211,QNC,0501110C0,Male,16-20,*,*
202211,QNC,0501110C0,Male,21-25,*,*
202211,QNC,0501110C0,Male,26-30,8,8
202211,QNC,0501110C0,Male,31-35,18,18
202211,QNC,0501110C0,Male,36-40,13,14
202211,QNC,0501110C0,Male,41-45,12,12
202211,QNC,0501110C0,Male,46-50,10,10
202211,QNC,0501110C0,Male,51-55,9,10
202211,QNC,0501110C0,Male,56-60,12,13
202211,QNC,0501110C0,Male,61-65,10,10
202211,QNC,0501110C0,Male,66-70,14,14
202211,QNC,0501110C0,Male,71-75,14,14
202211,QNC,0501110C0,Male,76-80,8,9
202211,QNC,0501110C0,Male,81-85,5,5
202211,QNC,0501110C0,Male,86-90,*,*
202211,QNC,0501110C0,Male,91-95,*,*
202211,QNC,0501110C0,Male,96-100,*,*
202211,QNC,0501110C0,Unknown,Unknown,0,*
202211,QNC,0501110C0,Unknown,16-20,0,*
202211,QNC,0501110C0,Unknown,56-60,0,*
202211,QNC,0501120L0,Female,2-5,*,*
202211,QNC,0501120L0,Female,6-10,*,*
202211,QNC,0501120L0,Female,11-15,*,*
202211,QNC,0501120L0,Female,16-20,6,6
202211,QNC,0501120L0,Female,21-25,*,*
202211,QNC,0501120L0,Female,26-30,11,12
202211,QNC,0501120L0,Female,31-35,11,11
202211,QNC,0501120L0,Female,36-40,12,15
202211,QNC,0501120L0,Female,41-45,15,15
202211,QNC,0501120L0,Female,46-50,10,12
202211,QNC,0501120L0,Female,51-55,22,24
202211,QNC,0501120L0,Female,56-60,21,22
202211,QNC,0501120L0,Female,61-65,25,25
202211,QNC,0501120L0,Female,66-70,26,28
202211,QNC,0501120L0,Female,71-75,44,50
