YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201903,Q61,0501012G0,Female,41-45,*,*
201903,Q61,0501012G0,Male,51-55,*,*
201903,Q61,0501013B0,Female,0-1,*,*
201903,Q61,0501013B0,Female,2-5,*,*
201903,Q61,0501013B0,Female,11-15,*,*
201903,Q61,0501013B0,Female,81-85,*,*
201903,Q61,0501013B0,Male,41-45,*,*
201903,Q61,0501013B0,Male,66-70,*,*
201903,Q61,0501013K0,Male,0-1,*,*
201903,Q61,0501050B0,Male,51-55,*,*
201903,Q61,0501080W0,Female,2-5,*,*
201903,Q61,0501110C0,Female,21-25,*,*
201903,Q61,0501130R0,Female,16-20,*,*
201903,Q99,0501011P0,Female,Unknown,*,*
201903,Q99,0501011P0,Female,0-1,*,*
201903,Q99,0501011P0,Female,2-5,6,6
201903,Q99,0501011P0,Female,6-10,*,*
201903,Q99,0501011P0,Female,11-15,*,*
201903,Q99,0501011P0,Female,16-20,*,*
201903,Q99,0501011P0,Female,26-30,*,*
201903,Q99,0501011P0,Female,31-35,*,*
201903,Q99,0501011P0,Female,51-55,*,*
201903,Q99,0501011P0,Female,71-75,*,*
201903,Q99,0501011P0,Male,0-1,*,*
201903,Q99,0501011P0,Male,2-5,*,*
201903,Q99,0501011P0,Male,11-15,*,*
201903,Q99,0501011P0,Male,41-45,*,*
201903,Q99,0501011P0,Male,71-75,*,*
201903,Q99,0501011P0,Male,76-80,*,*
201903,Q99,0501011P0,Unknown,Unknown,0,*
201903,Q99,0501011P0,Unknown,51-55,*,*
201903,Q99,0501011P0,Unknown,81-85,0,*
201903,Q99,0501012G0,Female,Unknown,*,*
201903,Q99,0501012G0,Female,6-10,*,*
201903,Q99,0501012G0,Female,11-15,*,*
201903,Q99,0501012G0,Female,16-20,*,*
201903,Q99,0501012G0,Female,71-75,*,*
201903,Q99,0501012G0,Female,76-80,*,*
201903,Q99,0501012G0,Female,81-85,*,*
201903,Q99,0501012G0,Female,86-90,*,*
