YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201803,Q44,0501011P0,Female,21-25,*,*
201803,Q44,0501013B0,Female,41-45,*,*
201803,Q44,0501013B0,Male,56-60,*,*
201803,Q44,0501030I0,Female,41-45,*,*
201803,Q44,0501030I0,Male,46-50,*,*
201803,Q44,0501050B0,Female,21-25,*,*
201803,Q44,0501050B0,Male,26-30,*,*
201803,Q45,0501011P0,Female,0-1,*,*
201803,Q45,0501011P0,Female,2-5,*,*
201803,Q45,0501011P0,Female,6-10,6,7
201803,Q45,0501011P0,Female,11-15,*,*
201803,Q45,0501011P0,Female,16-20,*,*
201803,Q45,0501011P0,Female,21-25,*,*
201803,Q45,0501011P0,Female,26-30,5,5
201803,Q45,0501011P0,Female,31-35,*,*
201803,Q45,0501011P0,Female,36-40,*,*
201803,Q45,0501011P0,Female,46-50,*,*
201803,Q45,0501011P0,Female,56-60,*,*
201803,Q45,0501011P0,Female,61-65,*,*
201803,Q45,0501011P0,Female,66-70,*,*
201803,Q45,0501011P0,Male,0-1,*,*
201803,Q45,0501011P0,Male,2-5,*,*
201803,Q45,0501011P0,Male,6-10,*,*
201803,Q45,0501011P0,Male,11-15,*,*
201803,Q45,0501011P0,Male,16-20,*,*
201803,Q45,0501011P0,Male,21-25,*,*
201803,Q45,0501011P0,Male,26-30,*,*
201803,Q45,0501011P0,Male,41-45,*,*
201803,Q45,0501011P0,Male,46-50,*,*
201803,Q45,0501011P0,Male,51-55,*,*
201803,Q45,0501011P0,Male,56-60,*,*
201803,Q45,0501011P0,Male,66-70,*,*
201803,Q45,0501011P0,Unknown,Unknown,0,*
201803,Q45,0501011P0,Unknown,26-30,0,*
201803,Q45,0501011P0,Unknown,31-35,0,*
201803,Q45,0501012G0,Female,0-1,*,*
201803,Q45,0501012G0,Female,2-5,*,*
201803,Q45,0501012G0,Female,6-10,*,*
201803,Q45,0501012G0,Female,11-15,*,*
201803,Q45,0501012G0,Female,16-20,*,*
201803,Q45,0501012G0,Female,21-25,*,*
201803,Q45,0501012G0,Female,26-30,*,*
201803,Q45,0501012G0,Female,31-35,6,6
201803,Q45,0501012G0,Female,36-40,*,*
201803,Q45,0501012G0,Female,41-45,10,12
201803,Q45,0501012G0,Female,46-50,*,*
201803,Q45,0501012G0,Female,51-55,*,*
201803,Q45,0501012G0,Female,56-60,*,*
201803,Q45,0501012G0,Female,61-65,*,*
201803,Q45,0501012G0,Female,66-70,*,*
201803,Q45,0501012G0,Female,71-75,*,*
201803,Q45,0501012G0,Female,76-80,*,*
201803,Q45,0501012G0,Female,86-90,*,*
201803,Q45,0501012G0,Female,91-95,*,*
201803,Q45,0501012G0,Female,96-100,*,*
201803,Q45,0501012G0,Male,Unknown,*,*
201803,Q45,0501012G0,Male,0-1,*,*
201803,Q45,0501012G0,Male,2-5,*,*
201803,Q45,0501012G0,Male,6-10,*,*
201803,Q45,0501012G0,Male,11-15,*,*
201803,Q45,0501012G0,Male,26-30,*,*
201803,Q45,0501012G0,Male,31-35,*,*
201803,Q45,0501012G0,Male,41-45,*,*
201803,Q45,0501012G0,Male,46-50,*,*
201803,Q45,0501012G0,Male,56-60,*,*
201803,Q45,0501012G0,Male,66-70,*,*
201803,Q45,0501012G0,Male,71-75,*,*
201803,Q45,0501012G0,Male,76-80,*,*
201803,Q45,0501012G0,Male,81-85,*,*
