YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201705,Q44,0501011P0,Female,2-5,*,*
201705,Q44,0501011P0,Female,11-15,*,*
201705,Q44,0501011P0,Female,16-20,*,*
201705,Q44,0501011P0,Female,21-25,*,*
201705,Q44,0501011P0,Female,26-30,*,*
201705,Q44,0501011P0,Female,31-35,*,*
201705,Q44,0501011P0,Female,36-40,*,*
201705,Q44,0501011P0,Female,46-50,*,*
201705,Q44,0501011P0,Female,56-60,*,*
201705,Q44,0501011P0,Female,71-75,*,*
201705,Q44,0501011P0,Female,86-90,*,*
201705,Q44,0501011P0,Male,2-5,*,*
201705,Q44,0501011P0,Male,6-10,6,7
201705,Q44,0501011P0,Male,16-20,*,*
201705,Q44,0501011P0,Male,31-35,*,*
201705,Q44,0501011P0,Unknown,Unknown,0,*
201705,Q44,0501011P0,Unknown,21-25,0,*
201705,Q44,0501012G0,Female,Unknown,*,*
201705,Q44,0501012G0,Female,2-5,*,*
201705,Q44,0501012G0,Female,6-10,*,*
201705,Q44,0501012G0,Female,11-15,*,*
201705,Q44,0501012G0,Female,21-25,*,*
201705,Q44,0501012G0,Female,26-30,*,*
201705,Q44,0501012G0,Female,31-35,5,5
201705,Q44,0501012G0,Female,36-40,*,*
201705,Q44,0501012G0,Female,41-45,*,*
201705,Q44,0501012G0,Female,46-50,*,*
201705,Q44,0501012G0,Female,51-55,*,*
201705,Q44,0501012G0,Female,56-60,*,*
201705,Q44,0501012G0,Female,61-65,*,*
201705,Q44,0501012G0,Female,66-70,*,5
201705,Q44,0501012G0,Female,71-75,*,*
201705,Q44,0501012G0,Female,76-80,*,*
201705,Q44,0501012G0,Female,81-85,*,*
201705,Q44,0501012G0,Female,86-90,*,*
201705,Q44,0501012G0,Female,91-95,*,*
201705,Q44,0501012G0,Female,96-100,*,*
201705,Q44,0501012G0,Male,Unknown,*,*
201705,Q44,0501012G0,Male,0-1,*,*
201705,Q44,0501012G0,Male,2-5,*,*
201705,Q44,0501012G0,Male,11-15,*,*
